0ad 0.0.26_alpha
blaze-builder 0.4.2.1
blaze-html 0.9.1.2
blaze-markup 0.8.2.8
blazeblogger 1.2.0
bleach 6.0.0
bleachbit 4.4.2
blender 3.5.1
blessed 1.20.0
blib 1.1.7
blind 1.1
blink1 1.98
blinken 23.04.0
blinkensim 2.7
blinkenthemes 0.10
blinkentools 2.9
blinker 1.6.2
blinkperl 20030301
blinkstick 1.0.1_p20150901
blis 0.9.0
bliss 0.77
bliss-initramfs 9.3.0
blktrace 1.3.0
bloaty 1.1
blobby 1.0
blobwars 2.00
blockdpy 1
blockrage 0.2.3
blocksruntime 0_pre20171027
blogc 0.20.1
blogmax 20170321
blokish 0.9.4
bloomfilter 2.0.1.0
blosc 1.11.1
blt 2.5.3
blueberry 1.4.8
bluedevil 5.27.4
bluefish 2.2.13
blueglass-xcursors 0.4
bluelet 0.2.0
blueman 2.3.5
blueprint-compiler 0.6.0
bluez 5.66
bluez-alsa 4.0.0
bluez-firmware 1.2
bluez-qt 5.105.0
bluez-tools 0_p20201025
bluray_info 1.3
blurb 1.1.0
bm 201905
bmake 20230414
bmap-tools 3.6
bmf 0.9.4
bmon 4.0
bnc 2.9.4
bnd-junit 2.1.0
bndlib 2.1.0
bnf-mode 0.4.5
bnf-syntax 1.2
bochs 2.7
bodr 10
boehm-gc 8.2.2
bogofilter 1.2.5
bogosort 0.4.2
bogus 0.1.6
boinc 7.22.0
bolt 0.9.3
boltons 23.0.0
bomber 23.04.0
bomberclone 0.11.9
bomns 0.99.2
bongo 1.1
bonnie 2.0.6
bonnie++ 2.00a
boogie 2.16.0
boogie-friends 0.1_p20220922
bookmarksync 0.3.4
bookview 3.2.1
boolean 0.460.0
boolean-py 4.0
boolector 3.2.2_p20220110
boost 1.82.0
boost-m4 0.4_p20160328
bootchart2 0.14.9
bootconfig 5.18
bootcreator 1.2
bopm 3.1.3
borgbackup 1.2.4
borgmatic 1.7.11
bos 0.2.1
botan 3.0.0
boto 2.49.0
boto3 1.26.129
botocore 1.29.129
bottle 0.12.25
bottleneck 1.3.7
bottlerocket 0.04c
bottom 0.8.0
Boulder 1.300.0
bovo 23.04.0
bower 0.12
bowtie 2.5.1
box2d 2.4.1
boxes 2.2.0
boxfort 0.1.4
boxquote 2.3
bpftool 6.3
bpftrace 0.17.1
bplay 0.991
bpmdetect 0.7.0_pre20170810
bpython 0.24
bpytop 1.0.68
braa 0.82
bracex 2.3_p1
braid-gog 2.0.0.3
braid-hb 20150611
braincurses 1.1.0
brainfuck-syntax 1.0.3
brainparty 0.61
braintree 4.19.0
brainworkshop 5.0.2_p20230115
branca 0.6.0
brasero 3.12.3
brass 1.2.1
breakpad 2022.07.12
breakpts 4.0
breathe 4.35.0
breeze 5.27.4
breeze-grub 5.27.4
breeze-gtk 5.27.4
breeze-icons 5.105.0
breeze-icons-rcc 5.105.0
breeze-plymouth 5.27.4
breezy 3.2.1
brewtarget 2.3.1
brial 1.2.12
bridge-utils 1.7.1
briquolo 0.5.7
bristol 0.60.11
brlaser 6
brltty 6.5
broadcom-bt-firmware 12.0.1.1105_p4
broadcom-sta 6.30.223.271
broken-age 2.4.800398
broot 1.21.2
brotli 0.4.0
brotli 1.0.9
brotli-dec 0.1.2
brotlicffi 1.0.9.2
browse-kill-ring 2.0.0
browser-cookie3 0.18.0
Browser-Open 0.40.0
browserlauncher2 1.3
browserpass 3.1.0
brscan4 0.4.11.1
brutal-legend-gog 2.0.0.3
brutal-legend-hb 20130615
brutefir 1.0o
brython 3.11
bsb-http-chunked 0.0.0.4
bsd-games 3.2
BSD-Resource 1.291.100
bsddb3 6.2.9
bsdiff 4.3
bsdsfv 1.18
bsdwhois 1.43.2.1
bsearch 1.5.0
bsf 2.4.0
bsh 2.1.1
bsign 0.4.5
bsnes-jg 1.1.2
bsod 0.1
BSON 1.12.2
bson 4.15.0
bspwm 0.9.10
bss 0.8
bt747 2.1.7
btail 0.3
btf 1.2.6
btfs 2.24
btop 1.2.13
btor2tools 1.0.0_pre20220518
btrbk 0.32.6
btrfs-progs 6.3
btrfsmaintenance 0.5
btyacc 3.0
bubblemon 1.46
bubblet 0.74
bubblewrap 0.8.0
bucardo 5.4.1
buddy 2.4
bufexplorer 7.4.19
buffer 1.19
buffer-extension 0.1
buftok 0.3.0
bugzilla 5.0.6
bui 1.2.1_p20210108
build 0.10.0
build 1.18
build-docbook-catalog 2.4
build2 0.14.0
buildah 1.29.1
buildbot 3.6.1
buildbot-badges 3.6.1
buildbot-console-view 3.6.1
buildbot-grid-view 3.6.1
buildbot-pkg 3.6.1
buildbot-waterfall-view 3.6.1
buildbot-worker 3.6.1
buildbot-wsgi-dashboards 3.6.1
buildbot-www 3.6.1
builder 3.2.4
buka 3.0.1
buku 4.8
bullet 3.22b
bumblebee 3.2.1_p20210112
bumprace 1.5.3
bundler 2.4.6
bundler-audit 0.9.1
bunny 2.20.3
burgerspace 1.9.3
burncdda 1.8.3
burp 3.1.4
burrow_exporter 0.0.6
Business-FedEx-DirectConnect 1.10.0
Business-Hours 0.130.0
Business-ISBN 3.8.0
Business-ISBN-Data 20230322.1.0
Business-ISMN 1.202.0
Business-ISSN 1.4.0
Business-Tax-VAT-Validation 1.200.0
Business-UPS 2.20.0
busted 2.1.2
busted-htest 1.0.0
busybee 0.7.0
busybox 1.34.1
buttercup 1.31
bvi 1.4.1
bwa 0.7.17
bwbar 1.2.3
bwidget 1.9.15
bwm-ng 0.6.3
bwmon 1.3
bwping 2.5
byacc 20230219
byaccj 1.15
bygfoot 2.3.2
byld 1.0.3
byobu 5.133
byte-buddy 1.14.0
byteable 0.1.1
byteorder 1.0.4
Bytes-Random-Secure 0.290.0
bytestring-builder 0.10.8.2.0
bytestructures 2.0.1
BZ-Client 4.400.400
bzflag 2.4.26
bzip2 1
bzip2 1.0.8
bzip3 1.3.0
c_rehash 1.7
c-ares 1.19.0
c-blosc 1.21.3
c-blosc2 2.6.1
c-capnproto 0.3
c-client 2007f_p7
c-intercal 31.0
c-support 1.24
c-support 6.1.1
c-wrapper 0.6.1
c++-gtk-utils 2.2.20
c++robots 0
c21e 2.0.0
c2esp 27
c2ffi 14.0.0.20220729
c2hs 0.28.8
c2ps 4.0
c3 4.0.1
c3p0 0.9.5.5
ca-bundle 1.3.1
ca-certificates 20230311.3.89.1
cabal 3.4.1.0
cabal-doctest 1.0.9
cabal-install 3.4.1.0
cabextract 1.11
Cache 2.110.0
cache_tab 1.0.30
Cache-Cache 1.80.0
Cache-FastMmap 1.570.0
Cache-Memcached 1.300.0
Cache-Memcached-Fast 0.270.0
Cache-Simple-TimedExpiry 0.270.0
cachecontrol 0.12.11
cached-property 1.5.2
cachefilesd 0.10.10
cachelib 0.10.2
cachetools 5.3.0
cacti 1.2.21
cacti-spine 1.2.20
cadabra 2.4.3.2
cadaver 0.23.3
caddy 2.6.4
cadence 0.9.2
cadical 1.5.3
cadubi 1.3.4
cadvisor 0.36.0
caffe2 2.0.0
Cairo 1.109.0
cairo 1.17.8
cairo-clock 0.3.4
Cairo-GObject 1.5.0
cairo2 0.6.4
cairocffi 1.5.1
cairomm 1.16.2
cairosvg 2.7.0
caja 1.26.1
caja-actions 1.26.0
caja-admin 0.0.5
caja-dropbox 1.26.0
caja-extensions 1.26.0
cal10n 0.8.1
cal3d 0.11.0
calamares 3.2.60
calamaris 2.99.4.5
calc 1.28
calc 2.13.0.1
calcmysky 0.3.0
calcoo 1.3.18
calcurse 4.8.0
caldav 1.2.1
calendar 0.9.1
calendar 1.42
calendar 2.04
calendar 2.9
Calendar-Simple 2.0.1
calendarjanitor 23.04.0
calendars 1.0.0
calendarsupport 23.04.0
calf 0.90.3
calfw 1.6
calibre 5.44.0
call-stack 0.3.0
calligra 3.2.1
calligraplan 3.3.0
calver 2022.06.26
camd 2.4.6
camlbz2 0.7.0
camldbm 1.2
camlidl 1.11
camlp-streams 5.0.1
camlp4 4.14_p1
camlp5 8.00.05
camlpdf 2.3.1
camlzip 1.11
camomile 2.0.0
Canary-Stability 2013.0.0
cancd 0.1.0
cangjie 1.3
canlock 3.3.0
cannonsmash 0.6.6
canonicaljson 2.0.0
cantarell 0.303.1
cantata 2.5.0
cantera 2.6.0
cantera-docs 2.6.0
canto-curses 0.9.9
canto-daemon 0.9.8
cantor 23.04.0
capistrano 3.17.2
capitalization 0.30.0
capnproto 0.10.2
caps-plugins 0.9.26
capstone 5.0_rc2
Capture-Tiny 0.480.0
capturer 3.0
capybara 3.39.0
capyt 1.1.1
cara-bin 1.8.4
carbon 1.1.10
carbon-c-relay 3.7.4
carbonapi-booking 0.3.0
carbonapi-web 1.0
cardo 1.04
cargo-audit 0.17.0
cargo-c 0.9.19
cargo-ebuild 0.5.4
cargo-license 0.5.1
cargo-nextest 0.9.50
cargo-tarpaulin 0.25.2
caribou 0.4.21
Carp-Always 0.160.0
Carp-Assert 0.210.0
Carp-Assert-More 2.0.1
Carp-Clan 6.80.0
cartopy 0.21.1
casa-data 20170703
cascadia-code 2111.01
case-insensitive 1.2.1.0
cask 0.8.8
cask-mode 0.1
cassava 0.5.2.0
casting-spels-emacs 19
casttube 0.2.1
castxml 0.5.1
casync 2_p20190407
catalyst 3.0.22
catatonit 0.1.7
catch 3.3.2
catcodec 1.0.5
catdoc 0.95
catdvi 0.14
catfish 4.16.4
cattrs 22.2.0
cava 0.8.3
cavezofphear 0.5.1
cawbird 1.5
cb2bib 2.0.0
cbatticon 1.6.13
cbindgen 0.24.3
cblas 3.8
cbm 0.3.2
cbor 1.0.0
CBOR-XS 1.830.0
cbor2 5.4.6
cbqinit 0.7.3
cbview 0.06
cc-mode 1.99
ccache 4.8
cccc 3.1.6
ccd2iso 0.3
ccextractor 0.88
ccfits 2.5
cchardet 2.1.7
ccid 1.5.1
cciss_vol_status 1.12a
cclive 0.9.3
ccls 0.20220729
ccolamd 2.9.6
ccollect 0.8
ccrypt 1.11
ccs-tools 1.8.3_p20130214
ccsh 0.0.4
cctree 1.61
cctz 2.3_p20230228
ccze 0.2.1
cd-discid 1.4
cd-hit 4.6.6
cdargs 1.35
cdb 0.75
CDB_File 1.50.0
cdbackup 0.7.1
cdbkup 1.0
cdcat 0.3
cdck 0.7.0
cdctl 0.16
cdd+ 077a
CDDB 1.222.0
CDDB_get 2.280.0
CDDB-File 1.50.0
cddetect 2.1
cddlib 094m
cdecl 14.0
cdemu 3.2.5
cdemu-daemon 3.2.6
cdf 3.8.0
cdfplayer 12.2.0
cdi-api 4.0.1
cdircmp 0.3
cdist 7.0.0
cdk 5.0.20230201
cdlabelgen 4.3.0
cdm 0.7
cdogs-sdl 1.4.1
cdparanoia 3.10.2
cdplay 1.0
cdplayer 0.6.0
cdrdao 1.2.5
cdrtools 3.02_alpha09
cdsclient 3.8.4
cdspeed 0.4
cdstatus 0.97.03
cdtool 2.1.8
cdw 0.8.1
cec 14
cecutil 17
cedet-common 1.03
cedilla 0.7
ceferino 0.97.8
cega-jg 0.6.0
cegui 0.8.7
celeste 1.4.0.0
celestia 1.7.0_pre20221215
celluloid 0.21
cellwriter 1.3.6
cenon 4.0.6
cenonlibrary 4.0.0
centaur-tabs 3.2
centerim 5.0.1
ceph 17.2.6
ceph_exporter 4.1.1
cerberus 1.3.4
cereal 0.5.8.1
cereal 1.3.2
ceres-solver 2.1.0
certbot 2.5.0
certbot-apache 2.5.0
certbot-dns-dnsimple 1.31.0
certbot-dns-nsone 1.18.0
certbot-nginx 2.5.0
certifi 3021.3.16
certificate_authority 1.1.0
cervisia 23.04.0
cfengine-syntax 20141019
cffi 1.15.1
cfg-update 1.8.9
cfgv 3.3.1
cfiles 1.8
cfitsio 4.2.0
cflow 1.7
cfn-lint 0.77.4
cfortran 20210827
cfrs 1.6.0
cfssl 1.6.0
cftime 1.6.2
cfv 3.0.0
cgal 5.5
cgcode 1.0
cgdb 0.8.0
CGI 4.530.0
CGI-Ajax 0.707.0
CGI-Application 4.610.0
CGI-Application-Dispatch 3.120.0
CGI-Application-Plugin-Redirect 1.0.0
CGI-Application-Server 0.63.0
CGI-Builder 1.360.0
CGI-Compile 0.250.0
CGI-Emulate-PSGI 0.230.0
CGI-Fast 2.160.0
CGI-FastTemplate 1.90.0
CGI-FormBuilder 3.100.0
CGI-PSGI 0.150.0
CGI-Session 4.480.0
CGI-Simple 1.280.0
cgilib 0.7
cgisysinfo 0.4.1
cgit 1.2.3
cglib 3.3.0
cglm 0.8.9
cgminer 4.10.0
cgnslib 4.3.0
cgoban 1.9.14
cgp 1_p20190510
cgreen 1.3.0
cgroup-utils 0.8
cgvg 1.6.3
chafa 1.12.4
chameleon 4.0.0
chameleon-xcursors 0.5
channeleditor 1.9.2.1
chaplin 1.10
characteristic 14.3.0
chardet 5.1.0
charinfo_width 1.1.0
charliecloud 0.32
charlock_holmes 0.7.7
charm 6.8.2
charmdebug 6.2.0
charset 0.3.7.1
charset_normalizer 3.1.0
Chart 2.4.10
Chart-Math-Axis 1.60.0
chart-studio 1.1.0
chasen 2.4.5
Chatbot-Eliza 1.80.0
cheapskatefonts 1.0
check 0.15.2
check_mk_agent 1.4.0_p31
check-jsonschema 0.21.0
check-manifest 0.49
checkattach 0.17
checkbashisms 2.22.2
checker-framework-qual 3.14.0
checkpassword 0
checkpassword 0.90
checkpassword-pam 0.99
checkpolicy 3.5
checksec 2.6.0
cheese 44.0.1
cheetah3 3.3.1
chell 0.4.0.2
chemex 2022.3.5
chemical-mime-data 0.1.95_pre20171122
chemtool 1.6.14
cheroot 9.0.0
cherrypy 18.8.0
cherrytree 0.99.55
chess 2.0.5
chessx 1.5.4
chez 9.5.8a
chez-minikanren 2018.04.11
chgres 0.1
CHI 0.600.0
chibi 0.10.0
chicken 5.3.0
chickens 0.2.4
childlabor 0.0.3
childprocess 4.1.0
chirurgien 2.1
chkcrontab 1.7
chkrootkit 0.57
chmlib 0.40
chname 1.1
chntpw 140201
chocolate-doom 3.0.1
cholmod 3.0.14
choqok 1.7.0
chordii 4.5.3
chromaprint 1.5.1
chrome-binary-plugins 115.0.5750.0_alpha
chrome-remote-desktop 110.0.5481.14
chromedriver-bin 113.0.5672.63
chromium 113.0.5672.63
chromium-bin 110.0.5481.30
chromium-bsu 0.9.16.1
chronic 0.10.2
chronograf 1.8.5
chrony 4.3
chroot_safe 1.4
chroot-wrapper 0.9.9
chrootuid 1.3
chrpath 0.16
chuck 1.4.1.1
chump 1.6.0
chunky_png 1.4.0
cider 1.7.0
cifparse-obj 7.105
cifs-utils 7.0
cilium-cli 0.13.0
cimg 2.9.3
cinaps 0.15.1
cinit 0.2.1
cinnamon 5.6.8
cinnamon-control-center 5.6.1
cinnamon-desktop 5.6.2
cinnamon-menus 5.6.0
cinnamon-screensaver 5.6.3
cinnamon-session 5.6.0
cinnamon-settings-daemon 5.6.2
cinnamon-translations 5.6.1
cipher-aes 0.2.11
circe 2.12
circlemud 3.1
circos 0.55
circuslinux 1.0.3
Cisco-IPPhone 0.50.0
Cisco-Reconfig 0.912.0
citar 1.3.1
citeproc 0.7
citeproc-el 0.9.3
citus 11.3.0
civetweb 1.16
cjkwrap 2.2
cjs 5.6.1
cJSON 1.7.15
ckb 0.5.0
ckbcomp 1.217
ckermit 9.0.302
ckpass 0.2
cksfv 1.3.15
cl 1.2.4
cl-ppcre 2.1.0
cl-ppcre-unicode 2.1.0
cl-unicode 0.1.5
clair 4.4.4
clamav 1.1.0
clamfs 1.2.0
clamtk 6.15
clanbomber 2.2.0
clang 17.0.0_pre20230502
clang-common 17.0.0_pre20230502
clang-python 17.0.0_pre20230502
clang-runtime 17.0.0_pre20230502
clang-toolchain-symlinks 17
clanlib 4.1.0
clapack 3.2.1
clashlist 3.17
clashscore-db 3.17
Class-Accessor 0.510.0
Class-Accessor-Chained 0.10.0
Class-Accessor-Grouped 0.100.140
Class-Accessor-Lite 0.80.0
Class-Adapter 1.90.0
Class-Autouse 2.10.0
Class-Base 0.90.0
Class-C3 0.350.0
Class-C3-Componentised 1.1.2
Class-C3-XS 0.150.0
Class-Container 0.130.0
Class-Data-Accessor 0.40.40
Class-Data-Inheritable 0.90.0
Class-DBI 3.0.17
Class-DBI-AbstractSearch 0.70.0
Class-DBI-mysql 1.0.0
Class-DBI-Plugin 0.30.0
Class-DBI-Plugin-DeepAbstractSearch 0.80.0
Class-Default 1.510.0
Class-ErrorHandler 0.40.0
Class-Factory-Util 1.700.0
Class-InsideOut 1.140.0
Class-Inspector 1.360.0
Class-ISA 0.360.0
Class-Load 0.250.0
Class-Load-XS 0.100.0
Class-Loader 2.30.0
Class-MakeMethods 1.10.0
Class-Member 1.600.0
Class-Method-Modifiers 2.130.0
Class-MethodMaker 2.240.0
Class-Mix 0.6.0
Class-Refresh 0.70.0
Class-ReturnValue 0.550.0
Class-Singleton 1.600.0
Class-Spiffy 0.150.0
Class-Std 0.13.0
Class-Std-Fast 0.0.8
Class-Tiny 1.8.0
Class-Trigger 0.150.0
Class-Unload 0.110.0
Class-Virtual 0.80.0
Class-WhiteHole 0.40.0
Class-XPath 1.400.0
Class-XSAccessor 1.190.0
classads 1.0.10
classified-ads 0.16
claws-mail 4.1.1
claws-mail-themes 20221017
clawsker 1.3.7
clazy 1.11
clblas 2.12
clblast 1.5.2
cldoc 1.16
clearcase 1.12
clearlooks-phenix 7.0.1
clearsans 1.00
clementine 1.4.0_rc2
cleo 2.0.1
clhep 2.4.6.2
clhpp 2023.04.17
cli_helpers 2.3.0
cli-prompt 1.0.3
cli53 0.8.18
click 8.1.3
click-default-group 1.2.2
click-didyoumean 0.3.0
click-help-colors 0.9.1
click-log 0.4.0
click-plugins 1.1.1
click-threading 0.5.0
clientsession 0.9.1.2
cliff 4.2.0
clikit 0.6.2
climate_control 1.2.0
clinfo 3.0.23.01.25
clint 0.5.1
clion 2023.1
Clipboard 0.280.0
clipmenu 6.2.0
clipnotify 1.0.2
clipper 6.4.2
clippy 8.5
clips 6.40
clipsjni 6.40
cliquer 1.22
clisp 2.49.92
cliver 0.3.2
cll1h 0.6
cln 1.3.6
cloc 1.96
clock 0.7.2
clockphoto 1.2
clockspeed 0.62
clockywock 0.3.1a
clog 1.3.0
clojure 1.11.1
clojure-mode 5.16.0
Clone 0.460.0
Clone-Choose 0.10.0
Clone-PP 1.80.0
closetag 0.9.1
closure-compiler-bin 20211107
cloud-hypervisor 31.0
cloud-init 22.4
cloudpickle 2.2.1
cloudscraper 1.2.69
cloudshark 1.0.4
clozurecl 1.12.1
clrngd 1.0.3
clsync 0.4.5
clucene 2.3.3.4
clustal-omega 1.2.4
clustalw 2.1
clustalw-mpi 0.13
clustalx 2.1
cluster 1.3.081231
cluster-glue 1.0.12
clustershell 1.9.1
clusterssh 4.16
clutter 1.26.4
clutter-gst 3.0.27
clutter-gtk 1.8.4
clx 0.7.5
clzip 1.13
cm-unicode 0.7.0
cmake 3.26.3
cmake-fedora 2.9.3
cmake-font-lock 0.1.13
cmark 0.30.3
cmatrix 2.0
cmd2 2.4.3
cmdalias 3.0
cmdargs 0.10.20
cmdftp 0.9.8
cmdliner 1.1.1
cmdparse 3.0.7
cmigemo 1.3c
cminpack 1.3.8
cmix 1.6
cmocka 1.1.5
cmospwd 5.1
cmpfit 1.4
cmrt 1.0.6
cmst 2023.03.14
cmt-plugins 1.17
cmucl 21c
cmus 2.10.0
cmusfm 0.4.1
cndrvcups-common-lb 3.70
cndrvcups-lb 3.70
cnet 3.3.4
cni-plugins 1.2.0
cnijfilter2 6.50
cnrdrvcups-lb 5.40
cntlm 0.93_beta5
cob 0.9
coccigrep 1.20
coccinelle 1.1.1
cockatrice 20210126
cockroach 19.1.1
code-page 0.1.3
code2html 0.9.1
codeblocks 20.03
codec2 1.1.0
codecrypt 1.8
codegroup 20080907
coderay 1.1.3
codespell 2.2.4
coercible 1.0.1
coffee-rails 5.0.0
coffee-script 2.4.1
coffee-script 2.5.1
coffee-script-source 1.12.2
cogl 1.22.8
cogre 1.04
coin 4.0.0
coinhsl 2015.06.23
coinor-alps 1.5.7
coinor-bcp 1.4.4
coinor-bcps 0.94.5
coinor-blis 0.94.8
coinor-bonmin 1.8.8
coinor-cbc 2.10.5
coinor-cgl 0.60.3
coinor-clp 1.17.6
coinor-couenne 0.5.8
coinor-cppad 20210000.5
coinor-csdp 6.2.0
coinor-dip 0.95.0
coinor-dylp 1.10.4
coinor-flopcpp 1.2.5
coinor-mp 1.8.4
coinor-netlib 1.2.9
coinor-os 2.10.1
coinor-osi 0.108.6
coinor-sample 1.2.12
coinor-smi 0.96.1
coinor-symphony 5.6.17
coinor-utils 2.11.4
coinor-vol 1.5.4
colamd 2.9.6
coldfire 0.3.1
collada-dom 2.5.0
collectd 5.12.0
collectl 4.3.1
colm 0.14.7
colo 1.22
colobot 0.2.0_alpha
colobot-data 0.2.0_alpha
color 1.2
color 1.8
color-browser 0.3
Color-Calc 1.74.0
Color-Library 0.21.0
color-lines 0.6
color-moccur 2.73
color-theme 6.6.0
colorama 0.4.6
colorator 1.1.0
colorclass 2.2.2
colorcode 0.8.5
colorcvs 1.4
colord 1.4.6
colord-gtk 0.3.0
colord-kde 23.04.0
colordiff 1.0.21
colored 1.2
colored-traceback 0.3.0
colored2 3.1.2
coloredlogs 15.0.1
colorgcc 1.3.2
colorize 0.8.1
colorized-logs 2.6
colorlog 6.7.0
colorschemes 20140623
colorsel 20100406
colorsvn 0.3.3
colour 0.1.5
colour 2.3.5
colpack 1.0.10
columnize 0.9.0
combine_wave 0.3.1
combustion 1.3.7
comi 1
comic-neue 2.3
comix-xcursors 0.9.2
comm 0.1.3
command-t 5.0.3
commander 0.7.0
commander 4.6.0
commandergenius 2.4.0
commenter 0.5.2
commentjson 0.9.0
common-sense 3.750.0
commonbox-styles 0.6
commonbox-styles-extra 0.2
commonlisp 0
commonmark 0.2.2
commonmark 0.9.1
commonmark-extensions 0.2.3.2
commonmark-pandoc 0.2.1.2
commonmarker 0.23.9
commons-beanutils 1.9.4
commons-cli 1.5.0
commons-codec 1.15
commons-collections 4.4
commons-compress 1.21
commons-csv 1.9.0
commons-daemon 1.3.3
commons-digester 3.2
commons-httpclient 3.1
commons-imaging 1.0_alpha3
commons-io 2.11.0
commons-junit4 1.2.17
commons-lang 3.12.0
commons-logging 1.3.0_pre20230319
commons-math 3.6.1
commons-net 3.9.0
commons-nullanalysis 1.2.17
commons-validator 1.7
commons-vfs 2.0
comonad 5.0.8
company-coq 1.0.1_p20220314
company-ebuild 0.1.3
company-math 1.5.1
company-mode 0.9.13_p20230306
company-quickhelp 2.3.0
compat 29.1.4.1
compface 1.5.2
Compiler-Lexer 0.230.0
compiler-rt 17.0.0_pre20230502
compiler-rt-sanitizers 17.0.0_pre20230502
complexity 1.10
compose-tables 1.8.4
composer 2.1.12
Compress-Bzip2 2.280.0
Compress-LZF 3.800.0
Compress-Raw-Lzma 2.201.0
Compress-Raw-Zlib 2.202.0
compsize 1.5
conan 2.0.4
concentration 1.2
concurrencykit 0.7.1
concurrent-output 1.10.11
concurrent-ruby 1.2.2
conduit 1.3.4.2
conduit-combinators 1.3.0
conduit-extra 1.3.4
Conf-Libconfig 0.100.0
conf-update 1.0.3
conf2struct 1.5
Config-Any 0.320.0
Config-ApacheFormat 1.200.0
Config-Auto 0.440.0
Config-AutoConf 0.320.0
Config-Crontab 1.450.0
Config-General 2.630.0
Config-Grammar 1.130.0
Config-INI 0.27.0
Config-IniFiles 3.0.3
Config-JSON 1.520.200
Config-MVP 2.200.12
Config-MVP-Reader-INI 2.101.464
Config-MVP-Slicer 0.303.0
Config-Properties 1.800.0
Config-Simple 4.590.0
config-site 0
Config-Tiny 2.270.0
ConfigArgParse 1.5.3
configclass 0.2.0
configobj 5.0.8
ConfigReader 0.500.0
configshell-fb 1.1.29
configupdater 3.1.1
configurator 0.3.0.0
confuse 2.0.1
confuse 3.3
congen 1.7
conky 1.19.0
conmon 2.1.7
conmux 0.16.4
connect 1.105
connectagram 1.2.11
connection 0.3.1
connection_pool 2.4.0
connman 1.42_pre20230411
connman-gtk 1.1.1
connman-json-client 1.0_p20150721
connman-notify 0_pre20191003
connman-ui 0_p20150622
conntrack-tools 1.4.7
cons 0.4.5
cons 2.3.0
conserver 8.2.6
consolation 0.0.7
console 1.16.2
console_bridge 1.0.2
consonance 0.1.5
conspy 1.16
Const-Fast 0.14.0
constant-boolean 0.20.0
constant-defer 6.0.0
constantine-backgrounds 12.1.1.4
constantly 15.1.0
constraints 0.13.3
construct 2.10.68
construo 0.2.3
consul 1.15.2
consul_exporter 0.7.1
consul-backinator 1.6.6
consul-replicate 0.4.0_p20211027
consul-template 0.29.5
consult 0.34
consult-flycheck 0.9
containerd 1.6.20
containers-storage 1.42.0
Context-Preserve 0.30.0
Contextual-Return 0.4.14
contourpy 1.0.7
contracts 0.17
contravariant 1.5.3
conversant-disruptor 1.2.20
converseen 0.9.11.1
Convert-ASCII-Armour 1.400.0
Convert-ASN1 0.330.0
Convert-Base32 0.60.0
Convert-BER 1.320.0
Convert-Binary-C 0.840.0
Convert-BinHex 1.125.0
Convert-Color 0.110.0
Convert-PEM 0.80.0
Convert-TNEF 0.180.0
Convert-UU 0.520.100
Convert-UUlib 1.800.0
convertible 1.1.1.0
convertlit 1.8
conveysdl 1.3
convmv 2.05
cookie 0.4.4
cookie 1.17
Cookie-Baker 0.110.0
Cookie-Baker-XS 0.110.0
cookiecutter 2.1.1
cookies 2.2.1
cool-retro-term 1.1.1
coolio 1.7.1
coolkey 1.1.0
coolreader 3.2.59
copyfs 1.0.1
copyq 6.4.0
coq 8.17.0
coq-mathcomp 1.16.0
coq-menhirlib 20220210
coq-serapi 0.17.0
coquillo 2.0.1
core 0.15.1
core_bench 0.15.0
core_kernel 0.15.0
core_unix 0.15.2
coreapi 2.3.3
coreboot-utils 4.18
coredns 1.10.1
corefonts 1
coreschema 0.0.4
coreutils 9.3
corfu 0.36
corkscrew 2.0
Coro 6.570.0
corosync 3.1.0
corsix-th 0.66
cortado 0.6.0
cosign 2.0.1
cosmosmash 1.4.8
costume-quest 2.0.0.3
coturn 4.6.0
counsel 0.14.0
countdownlatch 1.0.0
countrycodes 1.0.6
countryflags 5.105.0
courier 1.2.3
courier-authlib 0.72.0
courier-imap 5.2.3
courier-makedat 3.1.0
courier-prime 1.203
courier-pythonfilter 3.0.4
courier-unicode 2.2.6
courierpassd 1.1.2
couriersrs 0.1.2
coursier-bin 2.1.2
coverage 7.2.5
cowsay 3.7.0
CPAN 2.290.0
CPAN-Changes 0.400.2
CPAN-Checksums 2.140.0
CPAN-DistnameInfo 0.120.0
CPAN-Meta-Check 0.14.0
CPAN-Mini 1.111.16
CPAN-Mini-Inject 0.350.0
CPAN-Perl-Releases 5.202.109.200
CPAN-Uploader 0.103.15
Cpanel-JSON-XS 4.290.0
cpdf 2.3.1
cpdup 1.18
cphplib 0.51
cpik 0.7.4_p4
cpint 2.5.3
cpio 0
cpio 2.14
cpipe 3.0.3
cpl 7.0
cpop 0.0.4
cpp-hocon 0.3.0
cpp-httplib 0.12.3
cpp2latex 2.3
cppcheck 2.9
cppcodec 0.2
CppHeaderParser 2.7.4
cppi 1.18
cppman 0.5.6
cppo 1.6.9
cpptasks 1.0_beta5
cpptest 2.0.0
cppunit 1.15.1
cpputest 4.0
cppy 1.2.1
cppzmq 4.9.0
cprng-aes 0.6.1
cproc 0_pre20220805
cproto 4.7v
cpu-x 4.5.3
cpuburn 1.4a
cpuid 20230505
cpuid2cpuflags 12
cpuinfo 2022.08.19
cpuinfo-collection 20101114
cpulimit 2.8
cpuminer-opt 3.22.1
cpupower 5.18
cputnik 0.2.0
cpvts 1.2
CQL-Parser 1.130.0
cqrlib 1.1.4
cqrlog 2.4.0
crack 0.4.4
crack-attack 1.1.14
crackle 0.1
cracklib 2.9.11
