0ad 0.0.26_alpha
bibtexu 3.71_p20210325
bibutils 7.1
bidiv 1.5_p4
biew 6.1.0
bifunctors 5.5.11
bigarray-compat 1.1.0
bigloo 4.4c_p4
biglybt 3.3.0.0
bijiben 40.1
billardgl 1.75
biloba 0.9.3
bin_prot 0.15.0
bin_replace_string 0.2
bin2iso 19b
bin86 0.16.21
binary 0.8.8.0
binary-orphans 1.0.2
binaryornot 0.4.4
binclock 1.11
binclock 1.5
bind 9.16.39
bind_exporter 0.6.1
bind-chord 2.4.4
bind-key 2.4.4
bind-tools 9.16.39
bindata 2.4.15
bindex 0.8.1
bindfs 1.17.2
bindgen 0.63.0
binding_of_caller 1.0.0
binfind 0.0.3
bing 1.3.5
bingrep 0.11.0
biniax2 1.30
biniou 1.2.2
binkplayer 1.99w
bino 2.0
binutils 2.40
binutils-apple 8.2.1
binutils-config 5.5
binutils-hppa64 2.40
binutils-libs 2.40
binwalk 2.3.4
Bio-ASN1-EntrezGene 1.730.0
Bio-Das 1.170.0
Bio-DB-HTS 3.10.0
Bio-Graphics 2.400.0
bio2jack 0.9
biogrep 1.0
biopandas 0.4.1
bioperl 1.6.9
bioperl-db 1.6.9
bioperl-network 1.6.9
bioperl-run 1.6.9
biopython 1.81
biosdevname 0.7.3
biosdisk 1.01
biosql 1.0.1
biounzip 1.1a
bird 2.0.12
birdtray 1.9.0
birthday 1.6.2
bismuth 3.1.4
bison 3.8.2
bison-mode 0.3
Bit-Vector 7.400.0
Bit-Vector-Minimal 1.300.0
bitarray 2.7.3
bitcoin-cli 24.0.1
bitcoin-leveldb 0
bitcoin-qt 24.0.1
bitcoin-tx 24.0.1
bitcoind 24.0.1
bitflu 1.52
bitlbee 3.6
bitlbee-facebook 1.2.2
bitlbee-steam 1.4.2
bitmap 1.1.0
bitmeter 1.2
bitrise 1.24.0
bitset 2.8.4
bitshuffle 0.3.5
bitstream-cyberbit 2.0
bitstring 4.0.2
BitVector 3.5.0
bitwarden-desktop-bin 2023.2.0
black 23.3.0
blackbox 0.77
blackbox_exporter 0.21.1
blackshades 20070723
bladerf 2023.02
bladerf-firmware 2.4.0
bladerf-fpga 0.15.0
blahtexml 1.0
blake3-py 0.3.3
blake3-py-c 0.3.3
blankslate 3.1.3
blas 3.8
blas-docs 3.1.1
blat 34
